epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.758,1.61839,1.65542,1.27302,0.60288,0.5,0.48912,0.23347,1.83531,1.82877,1.13431,0.000329861,0.000329861,0.0673438
1,416.441,1.61839,1.65542,1.27302,0.60288,0.5,0.48912,0.23347,1.83531,1.82877,1.13431,0.000329861,0.000329861,0.0673438
2,753.431,1.62215,1.62847,1.25253,0.46626,0.37273,0.38176,0.17245,1.74786,2.03983,1.10554,0.000656021,0.000656021,0.0343366
2,754.952,1.62215,1.62847,1.25253,0.46626,0.37273,0.38176,0.17245,1.74786,2.03983,1.10554,0.000656021,0.000656021,0.0343366
3,1086.87,1.58971,1.57712,1.25094,0.53509,0.55455,0.50576,0.27499,1.59837,2.53053,1.07372,0.000953881,0.000953881,0.0013011
3,1087.55,1.58971,1.57712,1.25094,0.53509,0.55455,0.50576,0.27499,1.59837,2.53053,1.07372,0.000953881,0.000953881,0.0013011
4,1424.81,1.57771,1.53676,1.2319,0.57649,0.50909,0.50227,0.23105,1.93945,1.90037,1.16723,0.000905463,0.000905463,0.000905463
4,1427.9,1.57771,1.53676,1.2319,0.57649,0.50909,0.50227,0.23105,1.93945,1.90037,1.16723,0.000905463,0.000905463,0.000905463
5,1763,1.60169,1.44393,1.27001,0.73166,0.42727,0.5093,0.25232,1.86842,1.72739,1.1718,0.00083622,0.00083622,0.00083622
5,1765.19,1.60169,1.44393,1.27001,0.73166,0.42727,0.5093,0.25232,1.86842,1.72739,1.1718,0.00083622,0.00083622,0.00083622
6,2394.05,1.54153,1.41396,1.23945,0.61396,0.48182,0.50623,0.2689,1.68883,1.74062,1.10727,0.0007525,0.0007525,0.0007525
6,2393.69,1.54153,1.41396,1.23945,0.61396,0.48182,0.50623,0.2689,1.68883,1.74062,1.10727,0.0007525,0.0007525,0.0007525
